Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
Curt Seidel	Curt Seidel				
D. O	D. O		4		
Lajos Ebneth	D'Ebneth, Lajos, 1902-1982	18285302			
Carl Dallago	Dallago, Carl, 1869-1949	803304			
Theodor Däubler	Däubler, Theodor	32069			
Max Dauthendey	Dauthendey, Max, 1867-1918	49238491			
Dehmel	Dehmel				
Richard Dehmel	Dehmel, Richard, 1863-1920	2509022			
Ferdinand Delak	Delak, Ferdo	102612940			
Delaunay	Delaunay				
Robert Delaunay	Delaunay, Robert, 1885-1941	68979341			
Depero	Depero, Fortunato, 1892-1960	14782093			
Der Kaiser	Der Kaiser				UnViafable
Der lyrische Pharisäer	Der lyrische Pharisäer				UnViafable
Der Prinz	Der Prinz				UnViafable
Der Sturm	Der Sturm				UnViafable
Der Verlag und die Redaktion Der Sturm	Der Verlag und die Redaktion Der Sturm				UnViafable
Tibor Déry	Déry, Tibor, 1894-1977	14768732			
Tibor Dery	Déry, Tibor, 1894-1977	14768732			
Walter Dexel	Dexel, Walter, 1890-1973	39650673			
Dichtungen	Dichtungen				
Die Kampfbühne	Die Kampfbühne				UnViafable
Die Redaktion	Die Redaktion				UnViafable
Die Redaktion der Wochenschrift Der Sturm	Die Redaktion der Wochenschrift Der Sturm				UnViafable
Die Schriftleitung	Die Schriftleitung				UnViafable
Die Sturmbühne	Die Sturmbühne				UnViafable
Viktor von Dirsztay	Dirsztay, Viktor	305430937			
Alfred Döblin	Döblin, Alfred, 1878-1957	51688166			
Dr. med. Alfred Döblin	Döblin, Alfred, 1878-1957	51688166			
B. F. Dolbin	Dolbin, Benedikt Frederic, 1883-1971	3262032			
Tour Donas	Donas, Martha, 1885-1967	18302925			
Rade Drainac	Drainac, Rade, 1899-1943	79068196			
catherine dreier	Dreier, Katherine Sophie, 1877-1952	59075801			
Arthur Drey	Drey, Arthur, 1890-1965	49971123			
Willy Knobloch	Droste, Sebastian	10829285			
E. Epstein	E. Epstein		10		
E. Fröhlich-Vogel	E. Fröhlich-Vogel		17	ambiguous viaf	
E. Wichmann	E. Wichmann		11		
